100 198
1 2 75
2 3 48
3 4 86
4 5 40
5 6 10
6 7 2
7 8 78
8 9 83
9 10 82
10 11 18
11 12 97
12 13 43
13 14 87
14 15 66
15 16 33
16 17 59
17 18 22
18 19 52
19 20 89
20 21 11
21 22 39
22 23 82
23 24 17
24 25 98
25 26 96
26 27 59
27 28 78
28 29 28
29 30 95
30 31 95
31 32 57
32 33 4
33 34 41
34 35 93
35 36 69
36 37 49
37 38 85
38 39 27
39 40 49
40 41 5
41 42 79
42 43 46
43 44 16
44 45 71
45 46 46
46 47 29
47 48 81
48 49 51
49 50 94
50 51 89
51 52 23
52 53 92
53 54 68
54 55 95
55 56 38
56 57 35
57 58 92
58 59 38
59 60 5
60 61 71
61 62 52
62 63 71
63 64 3
64 65 92
65 66 91
66 67 75
67 68 40
68 69 12
69 70 13
70 71 100
71 72 57
72 73 69
73 74 71
74 75 37
75 76 16
76 77 26
77 78 75
78 79 84
79 80 47
80 81 9
81 82 77
82 83 73
83 84 12
84 85 54
85 86 1
86 87 53
87 88 82
88 89 10
89 90 52
90 91 32
91 92 39
92 93 23
93 94 50
94 95 97
95 96 77
96 97 73
97 98 35
98 99 33
99 100 88
74 59 84
81 26 25
52 81 20
67 90 54
70 27 31
11 97 73
92 68 13
100 2 84
37 9 17
46 62 92
76 80 74
54 70 66
76 64 49
32 71 21
69 83 100
23 43 17
1 60 87
9 11 25
23 41 97
92 67 36
35 98 75
28 66 87
4 48 15
70 75 60
53 86 23
37 89 23
90 13 61
8 84 85
36 1 70
36 59 61
52 96 22
80 12 30
28 55 63
94 59 5
74 26 17
26 23 6
91 47 41
2 93 27
1 21 19
4 89 12
37 54 37
56 10 13
60 54 36
58 29 43
88 75 32
88 99 80
8 60 31
7 82 1
75 65 76
77 27 50
29 13 28
54 15 25
91 54 43
23 86 31
63 23 94
63 57 16
6 52 95
77 13 42
80 86 30
17 99 10
81 64 76
78 18 23
8 75 63
51 41 90
39 80 15
97 90 28
25 99 20
18 1 73
13 94 79
56 98 92
41 58 60
33 36 44
1 99 6
10 56 36
37 7 3
30 64 9
20 38 61
13 33 82
8 28 48
90 6 21
87 65 46
82 57 98
41 27 27
47 52 30
30 74 85
37 34 12
46 19 90
53 73 13
79 27 45
98 45 51
46 33 33
26 6 27
62 1 60
73 22 83
54 63 96
48 2 1
24 28 29
7 94 70
53 4 37
